	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC004805.3	0
AC004808.1	0
AC004808.2	0.169876099
AC004812.1	0
AC004812.2	0.840310703
AC004816.1	1.613917847
AC004816.2	0.092474806
AC004817.1	0.109276747
AC004817.2	0.040342312
AC004817.3	0.012335766
AC004817.4	0
AC004824.1	0
AC004825.1	0
AC004825.2	1.154410767
AC004828.1	0.040157255
AC004830.1	0.086485768
AC004832.1	0.065060722
AC004832.2	0
AC004832.3	0
AC004832.4	0
AC004832.5	0.327466895
AC004832.6	0
AC004835.1	0
AC004835.2	0
AC004836.1	0.28996832
AC004837.1	0
AC004837.2	0.071854569
AC004837.3	0
AC004839.1	0.157262545
AC004840.1	0
AC004840.2	0
AC004846.1	0.473592286
AC004846.2	0.033800315
AC004847.1	1.443013459
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0
AC004854.2	0.346283174
AC004858.1	0
AC004862.1	0
AC004865.1	0
AC004865.2	0.713941416
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0
AC004877.2	0.789200683
AC004882.1	0
AC004882.2	0
AC004884.1	0.082328668
AC004884.2	0.769607178
AC004888.1	0.480125136
AC004889.1	0.245228877
AC004890.1	1.450985909
AC004890.2	0.036894655
AC004890.3	0.023984333
AC004893.1	0.094267211
AC004895.1	0
AC004898.1	0
AC004899.1	0
AC004899.2	0
AC004906.1	0
AC004908.1	0.19418
AC004908.2	0.228770426
AC004908.3	0.294143864
AC004910.1	0
AC004911.1	0.03015252
AC004917.1	0.063071193
AC004918.1	1.364303634
AC004918.3	0.709806621
AC004920.1	0
AC004921.1	1.755633565
AC004923.1	0.230882153
AC004923.2	0.071173022
AC004923.3	0
AC004923.4	0
AC004925.1	0.019410824
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0
AC004943.1	0.015476043
AC004943.2	0.911226343
AC004943.3	0
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0.056662017
AC004947.2	0.108158478
AC004948.1	0
AC004951.1	0.014074408
AC004951.2	20.31214971
AC004951.3	0.044893752
AC004951.4	0.164459048
AC004965.1	0
AC004967.1	2.115128453
AC004969.1	0
AC004972.1	0
AC004973.1	0
AC004975.1	0.126263678
AC004975.2	0.278897469
AC004980.1	0.295562564
AC004980.2	0.898326689
AC004980.3	0
AC004980.4	0
AC004982.1	0.079343942
AC004982.2	0.015180835
AC004986.1	0
AC004987.1	0
AC004987.2	0.754942407
AC004987.3	0
AC004987.4	0
AC004988.1	1.141862824
AC004990.1	1.074285216
AC004994.1	0
AC004997.1	0.025535095
AC005000.1	0.638333037
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0.03850857
AC005005.2	0
AC005005.3	0.521531673
AC005005.4	0.001572814
AC005006.1	0.105473273
AC005008.1	0
AC005008.2	0
AC005009.1	0
AC005009.2	0.085268977
AC005011.1	0
AC005013.1	0
AC005014.1	0.008824881
AC005014.2	0.131533447
AC005014.3	0.967578499
AC005019.1	0.060934675
AC005019.2	0
AC005020.1	0
AC005020.2	0
AC005021.1	0
AC005033.1	0
AC005034.1	0
AC005034.2	0
AC005034.3	5.126290859
AC005034.4	0.087640195
AC005034.5	0.563580364
AC005037.1	0.026991619
AC005040.1	0
AC005041.1	1.937926122
AC005041.2	0.085826291
AC005041.3	0.161866533
AC005042.1	0
AC005042.2	0.154487323
AC005042.3	0
AC005046.1	0.420205519
AC005050.1	0.095501254
AC005052.1	0
AC005062.1	0.030728758
AC005064.1	0
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.178658809
