	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC004801.6	0.393234088
AC004801.7	0
AC004803.1	1.302757295
AC004805.1	0.033997784
AC004805.2	0
AC004805.3	0.265840741
AC004808.1	0
AC004808.2	0.106611422
AC004812.1	0
AC004812.2	3.804374814
AC004816.1	4.297016068
AC004816.2	0.677082637
AC004817.1	0.114300457
AC004817.2	0
AC004817.3	0
AC004817.4	0.022733967
AC004824.1	0
AC004825.1	0
AC004825.2	1.690474453
AC004828.1	0.588047306
AC004830.1	0.030153908
AC004832.1	0.022683906
AC004832.2	0
AC004832.3	0
AC004832.4	0.995898847
AC004832.5	0.822051168
AC004832.6	0.195100922
AC004835.1	0
AC004835.2	0
AC004836.1	0.216642034
AC004837.1	0
AC004837.2	0.488526304
AC004837.3	0
AC004839.1	0.274153791
AC004840.1	0.090362532
AC004840.2	0
AC004846.1	0.540397571
AC004846.2	0.176770977
AC004847.1	0.589366093
AC004852.1	0
AC004852.2	0.049024765
AC004852.3	0
AC004853.1	0
AC004854.1	0.314844812
AC004854.2	0.457519109
AC004858.1	0
AC004862.1	0
AC004865.1	0.027388046
AC004865.2	0.24003096
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0.053692079
AC004877.2	0.825482099
AC004882.1	0
AC004882.2	0
AC004884.1	0
AC004884.2	0.402493917
AC004888.1	0.100439524
AC004889.1	2.100878656
AC004890.1	0.758845576
AC004890.2	0.713929594
AC004890.3	0.250869496
AC004893.1	0.157761435
AC004895.1	0.201001536
AC004898.1	0
AC004899.1	0
AC004899.2	0
AC004906.1	0.05669806
AC004908.1	1.218641473
AC004908.2	1.675012796
AC004908.3	0.30766635
AC004910.1	0.034904968
AC004911.1	0.25230962
AC004917.1	0.039582435
AC004918.1	1.427023889
AC004918.3	2.197616789
AC004920.1	0
AC004921.1	0.224858471
AC004923.1	0.362244526
AC004923.2	0
AC004923.3	0
AC004923.4	1.932951168
AC004925.1	0.010151593
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0
AC004943.1	0.291375237
AC004943.2	2.371447278
AC004943.3	0.228918416
AC004944.1	0.008980127
AC004945.1	0
AC004946.1	0
AC004947.1	0.019755635
AC004947.2	0.071992313
AC004948.1	0.040878288
AC004951.1	0.309150272
AC004951.2	7.163118015
AC004951.3	1.173940592
AC004951.4	0.172019619
AC004965.1	0
AC004967.1	8.419281322
AC004969.1	0.047526315
AC004972.1	0
AC004973.1	0
AC004975.1	0.264136633
AC004975.2	0.680677766
AC004980.1	1.165938168
AC004980.2	2.045065925
AC004980.3	0.150521698
AC004980.4	0
AC004982.1	0.365162911
AC004982.2	1.349692392
AC004986.1	0
AC004987.1	0
AC004987.2	0.119643771
AC004987.3	0
AC004987.4	0
AC004988.1	0.124089034
AC004990.1	0.442296678
AC004994.1	0
AC004997.1	0.08012701
AC005000.1	0.858444058
AC005000.2	0
