	779250be-012c-4e5b-9b4e-258192607c4b
	normal
AC005009.2	0.118710591
AC005011.1	0
AC005013.1	0.133246582
AC005014.1	0
AC005014.2	0.444718808
AC005014.3	0.577308347
AC005019.1	0.03635684
AC005019.2	0
AC005020.1	0.119161962
AC005020.2	0.086733199
AC005021.1	0.088280552
AC005033.1	0
AC005034.1	0
AC005034.2	0
AC005034.3	1.596579303
AC005034.4	0.069721014
AC005034.5	0.437140287
AC005037.1	0.128836982
AC005040.1	0
AC005041.1	0.664462219
AC005041.2	0
AC005041.3	0.386312431
AC005042.1	0.097936237
AC005042.2	0
AC005042.3	0
AC005046.1	1.228512163
AC005050.1	0.142452709
AC005052.1	0.006288041
AC005062.1	0.085560519
AC005064.1	0.028751923
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.917920895
AC005072.1	0.026424617
AC005076.1	0.741139094
AC005077.1	0
AC005077.2	0.124166387
AC005077.3	0
AC005077.4	0.031384431
AC005082.1	0.100200381
AC005083.1	2.243511588
AC005084.1	0
AC005086.1	0.156502352
AC005086.2	0.274908737
AC005086.3	0
AC005086.4	0.147134253
AC005088.1	0
AC005089.1	0.020976972
AC005090.1	0
AC005091.1	0
AC005094.1	0
AC005096.1	0.050385203
AC005099.1	0.231193741
AC005102.1	0.032713566
AC005104.1	1.134465013
AC005104.2	0.231117965
AC005105.1	0
AC005150.1	0
AC005154.1	1.6887764
AC005154.2	0.165380454
AC005154.3	0.843671823
AC005154.4	0
AC005154.5	0.425809728
AC005154.6	0.045618044
AC005156.1	0.164081654
AC005160.1	0
AC005162.1	0
AC005162.2	0.081331131
AC005162.3	0.13706292
AC005165.1	1.235422079
AC005165.2	0.082472621
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.453810163
AC005180.2	1.171052519
AC005181.1	0
AC005183.1	0.031672154
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0.045885206
AC005208.1	0
AC005209.1	0
AC005220.1	0.035452032
AC005224.1	0.112145594
AC005224.2	0
AC005224.3	0.241637072
AC005224.4	0.142280248
AC005225.1	0.083616852
AC005225.2	0.323967532
AC005225.3	0.181153734
AC005225.4	0.45776938
AC005229.1	0
AC005229.2	0
AC005229.3	0
AC005229.4	0.620233133
AC005230.1	0
AC005234.1	0
AC005237.1	0.224254712
AC005237.2	0.071551589
AC005244.1	0.138670779
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.971041955
AC005253.2	0
AC005255.1	1.886179388
AC005256.1	0
AC005258.1	0
AC005261.1	6.583670411
AC005261.2	0.194935286
AC005261.3	2.025194109
AC005261.4	0.044140276
AC005261.5	0.463202392
AC005262.1	0.129860204
AC005262.2	0
AC005264.1	0.513542323
AC005274.1	0.547075242
AC005277.1	0
AC005277.2	0.683042477
AC005280.1	0.092175282
AC005281.1	0.034401313
AC005288.1	5.484429298
AC005291.1	0
AC005291.2	0
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.042010182
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0.030664967
AC005306.1	0.268146276
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0.148575834
AC005324.2	0
AC005324.3	0.093780075
AC005324.4	0
AC005324.5	0.054885457
AC005324.6	0
AC005326.1	0.127396732
AC005329.1	0.03510456
AC005329.2	0
AC005329.3	0.057356508
AC005330.1	0
AC005332.1	0.203348524
AC005332.2	0.189444881
AC005332.3	0.220096512
AC005332.4	6.113329262
AC005332.5	1.187934811
AC005332.6	1.55838576
AC005332.7	7.649822643
AC005332.8	0.379720468
AC005336.1	0.088245041
AC005336.2	0
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0.021946496
AC005355.2	0
AC005357.1	0
AC005357.2	0.039948497
AC005358.1	0.027418719
AC005358.2	0.021296273
AC005363.1	0
AC005363.2	0.064751231
AC005377.1	0
AC005379.1	0.286642646
AC005381.1	0
AC005383.1	0.146720955
AC005387.1	0.356131773
AC005387.2	0.213679064
AC005391.1	0.045952487
AC005392.1	0
AC005392.2	0.208236518
AC005392.3	0
AC005393.1	0.321982151
AC005394.1	0
AC005410.1	0.033844056
AC005412.1	0
AC005476.1	0
AC005476.2	0.966277369
AC005479.1	2.793427486
AC005479.2	2.217767233
AC005480.1	0.031712215
AC005480.2	0.153249858
AC005481.1	0.01813634
AC005482.1	0
AC005486.1	0.290181444
AC005487.1	0
AC005495.1	0.007643804
AC005498.1	0
AC005498.2	0.184350565
AC005498.3	0.321824702
AC005514.1	0
AC005515.1	0.091457965
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.768014971
AC005520.1	0.050889736
AC005520.2	2.938087124
AC005520.3	0.084701611
AC005520.4	0
AC005520.5	0
AC005521.1	0.017969952
AC005522.1	0
AC005523.1	0.14995022
AC005523.2	0
AC005529.1	0
AC005531.1	0
AC005532.1	0.114008231
AC005532.2	0.042010182
AC005534.1	0.063354978
AC005534.2	0.07237782
AC005537.1	0.003466769
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.153458305
AC005544.1	0.238453448
AC005544.2	0
AC005546.1	0.520990726
AC005549.1	0
AC005550.1	0
AC005550.2	0.025118565
AC005552.1	0.094681559
AC005559.1	0
AC005562.1	0.251817496
AC005562.2	0
AC005578.1	0.015362547
AC005580.1	0
AC005586.1	0.515989882
AC005586.2	0.074885534
AC005587.1	0
AC005588.1	0
AC005592.1	0.105102304
AC005593.1	0.060853584
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0.008579139
AC005614.2	0
AC005616.1	0
AC005618.1	0.104531689
AC005618.2	0
AC005618.3	0
AC005625.1	0.033198725
AC005632.1	0
AC005632.2	1.230116992
AC005632.3	0
AC005632.4	0
AC005670.1	0.039670375
AC005670.2	0
AC005674.1	0.273111948
AC005674.2	1.892875883
AC005682.1	1.24973849
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.013813292
AC005695.2	0
AC005695.3	0.135084465
AC005696.1	0.318348041
AC005696.2	0
AC005696.3	2.223766712
AC005696.4	0.084647781
AC005697.1	0
AC005697.2	0.00691518
AC005699.1	0.015545435
AC005702.1	0
AC005702.2	0.032487487
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0.116504074
AC005703.5	0
AC005703.6	0.212232027
AC005722.1	0
AC005722.2	0.02789875
AC005722.3	0
