	944c32ab-2edb-486a-92db-fecd68f690af
	tumor
AC004951.1	0.445087683
AC004951.2	6.849433359
AC004951.3	3.011517907
AC004951.4	1.248685738
AC004965.1	0
AC004967.1	15.93390371
AC004969.1	0
AC004972.1	0.011393248
AC004973.1	0.118902451
AC004975.1	0.362995462
AC004975.2	2.227228793
AC004980.1	2.54913855
AC004980.2	6.076704716
AC004980.3	0.068952563
AC004980.4	0
AC004982.1	0.273727092
AC004982.2	0.64010298
AC004986.1	0
AC004987.1	0
AC004987.2	0.197307638
AC004987.3	0
AC004987.4	0
AC004988.1	0.099477017
AC004990.1	0.383319838
AC004994.1	0
AC004997.1	0.048940565
AC005000.1	2.359470503
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0.073805529
AC005005.2	0.066230751
AC005005.3	0.87462169
AC005005.4	0.003014455
AC005006.1	0
AC005008.1	0
AC005008.2	0
AC005009.1	0.093560169
AC005009.2	0.054475509
AC005011.1	0.119846121
AC005013.1	0.085604372
AC005014.1	0.549697429
AC005014.2	2.562986323
AC005014.3	1.589538023
AC005019.1	0.116787403
AC005019.2	0
AC005020.1	0.382778485
AC005020.2	0.185739375
AC005021.1	0.496264218
AC005033.1	0
AC005034.1	0
AC005034.2	0.486332084
AC005034.3	8.73017592
AC005034.4	0.391932809
AC005034.5	0.702102811
AC005037.1	0
AC005040.1	0
AC005041.1	0.848726618
AC005041.2	0
AC005041.3	1.512387873
AC005042.1	0.18875764
AC005042.2	0.049348403
AC005042.3	0
AC005046.1	2.456366092
AC005050.1	0.091518856
AC005052.1	0.030298177
AC005062.1	0.098157899
AC005064.1	0.027707544
AC005066.1	0
AC005070.1	0
AC005070.2	0.483993949
AC005070.3	0.418510263
AC005072.1	0.028294194
AC005076.1	1.615493317
AC005077.1	0.402682966
AC005077.2	0.598280952
AC005077.3	0
AC005077.4	1.238581369
AC005082.1	0.074277478
AC005083.1	3.324033916
AC005084.1	0
AC005086.1	0
AC005086.2	0
AC005086.3	0
AC005086.4	0
AC005088.1	0.091852866
AC005089.1	0.089844481
AC005090.1	0
AC005091.1	0.084597262
AC005094.1	0
AC005096.1	0
AC005099.1	0.495102007
AC005102.1	0.210168563
AC005104.1	2.903963696
AC005104.2	0.222722879
AC005105.1	0
AC005150.1	0
AC005154.1	1.577021522
AC005154.2	0.199216507
AC005154.3	0.794959193
AC005154.4	0
AC005154.5	0.341952247
AC005154.6	0.146536742
AC005156.1	0.087845324
AC005160.1	0
AC005162.1	0
AC005162.2	0.043542708
AC005162.3	0.076793182
AC005165.1	0.05087807
AC005165.2	0.264923004
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.085750206
AC005180.2	0.089564717
AC005181.1	0
AC005183.1	0.012717375
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0.036848734
AC005208.1	0.022879714
AC005209.1	0.087085416
AC005220.1	0.056940465
AC005224.1	0.13099641
AC005224.2	0
AC005224.3	0.094084805
AC005224.4	0.868376553
AC005225.1	0.107439425
AC005225.2	0.328631365
AC005225.3	0.0969853
AC005225.4	0.294094301
AC005229.1	0.061534683
AC005229.2	0
AC005229.3	0
AC005229.4	3.435079895
AC005230.1	0
AC005234.1	0
AC005237.1	0.45022693
AC005237.2	0.114920938
AC005244.1	0.14848192
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	2.779639413
AC005253.2	0
AC005255.1	4.660682475
AC005256.1	0.054951278
AC005258.1	0
AC005261.1	7.932135689
AC005261.2	0.120419547
AC005261.3	3.779695708
AC005261.4	0
AC005261.5	0.199599523
