	3ceffeff-4dd6-4ff9-8fa2-eb88199c498b
	tumor
AC006027.1	0
AC006028.1	0.161044331
AC006030.1	0.0639848
AC006033.1	0.86117133
AC006033.2	0.997852934
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.5353802
AC006042.2	0.037992853
AC006042.3	0.220353373
AC006042.4	0.18710931
AC006055.1	0
AC006058.1	0.097955127
AC006058.2	0
AC006058.3	0.04037407
AC006058.4	0.09045484
AC006059.1	0.467336288
AC006063.1	0.038535608
AC006064.1	0.192678039
AC006064.2	0.255500205
AC006064.3	1.49295185
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0.036207954
AC006065.5	0
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0
AC006077.2	1.038859274
AC006111.1	0
AC006111.2	0.525354354
AC006111.3	0
AC006115.1	0
AC006115.2	0
AC006116.1	0
AC006116.10	0.445713054
AC006116.2	0.04368409
AC006116.3	0.059778228
AC006116.4	0.047743231
AC006116.5	0.540463623
AC006116.6	0
AC006116.7	0
AC006116.8	0.04253043
AC006116.9	0.020749943
AC006122.1	0.441407871
AC006128.1	2.585435361
AC006130.1	0.038882775
AC006130.2	0
AC006133.1	0
AC006141.1	0.09944673
AC006144.1	0
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	1.061308543
AC006158.1	0
AC006159.1	0
AC006159.2	0
AC006160.1	0.316505792
AC006195.1	0.046760434
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	1.278113676
AC006210.1	0
AC006210.2	0.042011565
AC006213.1	0.096438372
AC006213.2	0.521539827
AC006213.3	0.375666273
AC006213.4	0.340377608
AC006213.5	0.074930349
AC006213.6	0.165244817
AC006236.1	0
AC006237.1	0.179832836
AC006238.1	0
AC006249.1	0
AC006252.1	0.607609584
AC006254.1	0.317804348
AC006254.2	0
AC006254.3	0.024411697
AC006262.1	0.996671244
AC006262.2	0.050836138
AC006262.3	0
AC006262.4	0.603634696
AC006270.1	0.135438956
AC006270.2	0.033098068
AC006270.3	0
AC006272.1	0.195470474
AC006272.2	0.459147668
AC006273.1	0.15038286
AC006277.1	0.696991863
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.008913647
AC006305.1	1.032052944
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0.056939157
