	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
AC004024.1	0.115196487
AC004034.1	0.390538677
AC004039.1	0.039761783
AC004052.1	0
AC004053.1	0.148453211
AC004054.1	0
AC004057.1	0
AC004062.1	0
AC004063.1	0.026008713
AC004066.1	0
AC004066.2	0.024871969
AC004067.1	0.38615508
AC004069.1	0.155483782
AC004069.2	0
AC004074.1	0
AC004076.1	0.0830356
AC004076.2	0.111313848
AC004080.1	0
AC004080.2	0
AC004080.3	0.03719416
AC004080.4	0
AC004080.5	0
AC004080.6	0.015480703
AC004112.1	0.100613622
AC004129.1	0
AC004129.2	0
AC004130.1	0.301683656
AC004134.1	0
AC004147.1	0
AC004147.2	0.035434038
AC004147.3	0
AC004147.4	0.026592086
AC004147.5	0
AC004148.1	0
AC004148.2	0.623980969
AC004149.1	0.025913964
AC004156.1	0.045356321
AC004158.1	0
AC004160.1	0.183490093
AC004160.2	0.202156534
AC004217.1	0
AC004217.2	0
AC004221.1	0.050569074
AC004223.1	0.052497292
AC004223.2	0
AC004223.3	0
AC004223.4	0.08570341
AC004224.1	0.025047123
AC004224.2	0.026893698
AC004231.1	0.087280774
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.298084623
AC004233.1	0.070197859
AC004233.2	0
AC004233.3	0.168165084
AC004233.4	0.06823389
AC004241.1	0.103209366
AC004241.2	0.256338128
AC004241.3	0.440286765
AC004241.4	0
AC004241.5	0.087173812
AC004253.1	0.320685301
AC004253.2	0
AC004257.1	0.051360166
AC004263.1	0
AC004264.1	0.37627467
AC004264.2	0.049142543
AC004381.1	0
AC004383.1	0.098455129
AC004386.1	0
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0
AC004448.3	0
AC004449.1	0.032856273
AC004453.1	1.150694316
AC004453.2	0.033039401
AC004461.1	0.353021491
AC004466.1	0.079037589
AC004466.2	0.110285008
AC004466.3	0.182394437
AC004467.1	0
AC004470.1	0
AC004471.1	0.195556922
AC004471.2	0.084571265
AC004477.1	0.063057606
AC004477.2	0
AC004477.3	2.146071494
AC004485.1	0.026995761
AC004486.1	0.549531737
AC004490.1	0
AC004491.1	0
AC004492.1	0.786115107
AC004494.1	0.120361811
AC004494.2	0
AC004520.1	0.161095724
AC004522.1	0
AC004522.2	0.083686859
AC004528.1	0
AC004528.2	0
AC004540.1	0.551684231
AC004540.2	0.177431323
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0.024742202
AC004552.1	0.163526047
AC004554.1	0
AC004584.1	0.129569819
AC004584.2	0
AC004584.3	0.12077051
AC004585.1	0.403764647
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.016456641
AC004596.1	0.350280226
AC004597.1	0
AC004623.1	0.066886535
AC004637.1	0.029516112
AC004656.1	3.844761265
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.015314065
AC004678.2	0.014198369
AC004687.1	0.32393252
AC004690.1	0
AC004690.2	0
AC004691.1	0.078026139
AC004691.2	0.027877399
AC004692.1	0.033553694
AC004692.2	0
AC004696.1	0.117189177
AC004696.2	0
AC004702.1	0
AC004704.1	0.024402686
AC004706.1	0.080925859
AC004706.2	0
AC004706.3	0.028916191
AC004707.1	0.11938545
AC004754.1	0.177675937
AC004771.1	0.244026863
AC004771.2	0.064814424
AC004771.3	0.36147863
AC004771.4	0
AC004771.5	0.157491876
AC004775.1	0
AC004777.1	0.049570614
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0.011084352
AC004801.1	0
AC004801.2	0.109577146
AC004801.3	0.014788738
AC004801.4	0.004571583
AC004801.5	0
AC004801.6	0.276389116
AC004801.7	0
AC004803.1	0.407143756
AC004805.1	0.008803692
AC004805.2	0
AC004805.3	0
AC004808.1	0
AC004808.2	0.073618453
AC004812.1	0
AC004812.2	0.726964647
AC004816.1	1.291536027
AC004816.2	0.100188494
AC004817.1	0.019731992
AC004817.2	0.087414845
AC004817.3	0.093553182
AC004817.4	0.00784925
AC004824.1	0
AC004825.1	0
AC004825.2	0.781690444
AC004828.1	0.021753465
AC004830.1	0.046849943
AC004832.1	0
AC004832.2	0
AC004832.3	0
AC004832.4	0.257886999
AC004832.5	0.212869318
AC004832.6	0.020208475
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.175158543
AC004837.3	0
AC004839.1	0
AC004840.1	0
AC004840.2	0
AC004846.1	1.497308824
AC004846.2	0.091549331
AC004847.1	0.565794988
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0
AC004854.2	0.345549489
AC004858.1	0
AC004862.1	0.00372526
AC004865.1	0.014184213
AC004865.2	0.345309856
AC004866.1	0.182394437
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0.185123827
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0.052138161
AC004877.2	0.688774986
AC004882.1	0
AC004882.2	0
AC004884.1	0
AC004884.2	0.078169044
AC004888.1	0.052017426
AC004889.1	0.164471284
AC004890.1	0.471605506
AC004890.2	0.309784417
AC004890.3	0.129924804
AC004893.1	0.061278246
AC004895.1	0.017349715
AC004898.1	0.074291207
AC004899.1	0
AC004899.2	0
AC004906.1	0.014681905
AC004908.1	0.473348964
AC004908.2	0.247853068
AC004908.3	0.136576954
AC004910.1	0.018077212
AC004911.1	0
AC004917.1	0.075165431
AC004918.1	0.960768619
AC004918.3	1.522648478
AC004920.1	0
AC004921.1	0.426997072
AC004923.1	0
AC004923.2	0
AC004923.3	0
AC004923.4	0.096256875
AC004925.1	0.010514979
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0.004559861
AC004941.2	0.062398097
AC004943.1	0.117368724
AC004943.2	1.26636435
AC004943.3	0.023711277
AC004944.1	0
AC004945.1	0.014472804
AC004946.1	0
AC004947.1	0.005115702
AC004947.2	0.031958291
AC004948.1	0.021170783
AC004951.1	0.068617843
AC004951.2	0.648308328
AC004951.3	0.243192583
AC004951.4	0.054823761
AC004965.1	0
AC004967.1	2.355214073
AC004969.1	0
AC004972.1	0
AC004973.1	0
AC004975.1	0.410387483
AC004975.2	0.201440936
AC004980.1	0.430005149
AC004980.2	0.314878123
AC004980.3	0
AC004980.4	0
AC004982.1	0.042981166
AC004982.2	0.15624772
AC004986.1	0
AC004987.1	0
AC004987.2	0.322208988
AC004987.3	0
AC004987.4	0.042091024
AC004988.1	0.216895926
AC004990.1	0.061909339
AC004994.1	0.045452927
AC004997.1	0.082995232
AC005000.1	0.395187947
AC005000.2	0.045892794
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0.037438858
AC005005.3	0.312787056
AC005005.4	0.004260021
AC005006.1	0.057135607
AC005008.1	0
AC005008.2	0
AC005009.1	0
AC005009.2	0
AC005011.1	0
AC005013.1	0
AC005014.1	0
AC005014.2	0.023750862
AC005014.3	0.449266297
AC005019.1	0
AC005019.2	0
AC005020.1	0.054094168
AC005020.2	1.28618365
AC005021.1	0.360678577
AC005033.1	0
AC005034.1	0
AC005034.2	0.171820846
AC005034.3	3.58315803
AC005034.4	0.047475304
AC005034.5	0.793768065
AC005037.1	0.058486192
AC005040.1	0
AC005041.1	2.099576164
AC005041.2	0.0464927
AC005041.3	0.263052686
AC005042.1	0.035566915
AC005042.2	0
AC005042.3	0
AC005046.1	1.684449105
AC005050.1	0.258668474
AC005052.1	0.017126925
AC005062.1	0.011097321
AC005064.1	0
AC005066.1	0
AC005070.1	0
AC005070.2	0.054718331
AC005070.3	0.209691564
AC005072.1	0.015994116
AC005076.1	0.32042266
AC005077.1	0.303504343
AC005077.2	0.405834849
AC005077.3	0
AC005077.4	1.994596676
AC005082.1	3.421981612
AC005083.1	0.331589443
AC005084.1	0
AC005086.1	0.035522512
AC005086.2	0.124796194
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	0.031742004
AC005090.1	0.024742202
AC005091.1	0.011955266
AC005094.1	0
AC005096.1	0.045745229
AC005099.1	0.163257971
AC005102.1	0.089102919
AC005104.1	1.094366622
AC005104.2	0
AC005105.1	0
AC005150.1	0
AC005154.1	0.358689204
AC005154.2	0.112612924
AC005154.3	0.275752106
AC005154.4	0
AC005154.5	0.115979071
AC005154.6	0.020708539
AC005156.1	0
AC005160.1	0.037340593
AC005162.1	0
AC005162.2	0.073841346
AC005162.3	0.011575888
AC005165.1	0.081487542
AC005165.2	0.299510865
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.072709196
AC005180.2	0
AC005181.1	0.011327043
AC005183.1	0
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0
AC005208.1	0
AC005209.1	0
AC005220.1	0
AC005224.1	0.055537148
AC005224.2	0
AC005224.3	0.046536151
AC005224.4	0.895631763
AC005225.1	0.045549945
AC005225.2	0.030961406
AC005225.3	0.054823761
AC005225.4	0.20460967
AC005229.1	0
AC005229.2	0
AC005229.3	0
AC005229.4	1.84468987
AC005230.1	0.049918477
AC005234.1	0
AC005237.1	0.101801546
AC005237.2	0.064962402
AC005244.1	0.083933723
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.334161922
AC005253.2	0
AC005255.1	2.436992339
AC005256.1	0.093188424
AC005258.1	0
AC005261.1	4.407023126
AC005261.2	0.204211953
AC005261.3	1.81814989
AC005261.4	0.080150795
AC005261.5	0.348745528
AC005262.1	0.039300459
AC005262.2	0
AC005264.1	0.104292809
AC005274.1	0
AC005277.1	0
AC005277.2	0.072957775
AC005280.1	0.020921715
AC005281.1	0.015616648
AC005288.1	7.99014886
AC005291.1	1.043148215
AC005291.2	1.740942695
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.038141464
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0.01435597
AC005304.3	0.02784103
AC005306.1	0.106510548
AC005307.1	0
AC005323.1	0.057910852
AC005323.2	0.037000692
AC005324.1	0
AC005324.2	0
AC005324.3	0.002580117
AC005324.4	0
AC005324.5	0.024915527
AC005324.6	0
AC005326.1	0
AC005329.1	0
AC005329.2	0
AC005329.3	0.020829819
AC005330.1	0.448177607
AC005332.1	0.065160761
AC005332.2	0.171998899
AC005332.3	0.06823389
AC005332.4	2.838973502
AC005332.5	0.83019034
AC005332.6	0.889497989
AC005332.7	7.305768275
AC005332.8	0.068950401
AC005336.1	0.022891015
AC005336.2	0.030301951
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0.04523614
AC005342.2	0.045164337
AC005344.1	0.030995133
AC005345.1	0
AC005351.1	0
AC005355.1	0
AC005355.2	0.029394145
AC005357.1	0
AC005357.2	0.00906741
AC005358.1	0
AC005358.2	0
AC005363.1	0
AC005363.2	0
AC005377.1	0
AC005379.1	0.086748574
AC005381.1	0.014230324
AC005383.1	0.079925652
AC005387.1	0.242501695
AC005387.2	0.258668474
AC005391.1	0.292045052
AC005392.1	0.085360597
AC005392.2	0.378120029
AC005392.3	0
AC005393.1	0.194887207
AC005394.1	0
AC005410.1	0.030727357
AC005412.1	0
AC005476.1	0
