	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
AC004771.2	0
AC004771.3	0.176229279
AC004771.4	0
AC004771.5	0.044788899
AC004775.1	0
AC004777.1	0.169167827
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.067432176
AC004801.2	0.186974967
AC004801.3	0
AC004801.4	0.007800637
AC004801.5	0
AC004801.6	0.124108299
AC004801.7	0
AC004803.1	0.27127253
AC004805.1	0
AC004805.2	0
AC004805.3	0
AC004808.1	0
AC004808.2	0.345448144
AC004812.1	0
AC004812.2	1.147699493
AC004816.1	2.102075642
AC004816.2	0.256432217
AC004817.1	0.269354599
AC004817.2	0
AC004817.3	0
AC004817.4	0.053573701
AC004824.1	0
AC004825.1	0
AC004825.2	0.586882232
AC004828.1	0
AC004830.1	0.079941547
AC004832.1	0.110252442
AC004832.2	0
AC004832.3	0
AC004832.4	0.073340131
AC004832.5	0.484300912
AC004832.6	0.068964725
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.498130983
AC004837.3	0
AC004839.1	0
AC004840.1	0
AC004840.2	0
AC004846.1	0.748165516
AC004846.2	0.062485414
AC004847.1	0.228655415
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0
AC004854.2	0.690700147
AC004858.1	0
AC004862.1	0
AC004865.1	0
AC004865.2	0.353527911
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0.015794134
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0.011862
AC004877.2	0.445795351
AC004882.1	0
AC004882.2	0
AC004884.1	0.228297021
AC004884.2	0.266764651
AC004888.1	0
AC004889.1	0.345406253
AC004890.1	1.072953954
AC004890.2	0.068205806
AC004890.3	0.066508447
AC004893.1	0.034853673
AC004895.1	0.02960437
AC004898.1	0.063382724
AC004899.1	0
AC004899.2	0
AC004906.1	0
AC004908.1	0.089743376
AC004908.2	0.169167827
AC004908.3	0
AC004910.1	0
AC004911.1	0
AC004917.1	0.10493768
AC004918.1	0.756641555
AC004918.3	0.577365222
AC004920.1	0.050364281
AC004921.1	0.298063095
AC004923.1	0.05335293
AC004923.2	0
AC004923.3	0
AC004923.4	0
AC004925.1	0.017942042
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0
AC004943.1	0.028609998
AC004943.2	0.245663688
AC004943.3	0
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0
AC004947.2	0.009088575
AC004948.1	0.03612438
AC004951.1	0.078056538
AC004951.2	1.321329213
AC004951.3	0.207483617
AC004951.4	0.070160645
AC004965.1	0.113969874
AC004967.1	4.887701319
AC004969.1	0
AC004972.1	0
AC004973.1	0
AC004975.1	0.233419069
AC004975.2	0.300759438
AC004980.1	0.437116611
AC004980.2	0.683819246
AC004980.3	0.199525342
AC004980.4	0
AC004982.1	0.014668026
AC004982.2	0.056128516
AC004986.1	0
AC004987.1	0
AC004987.2	0.232605763
AC004987.3	0
AC004987.4	0
AC004988.1	0.137072745
AC004990.1	1.595131882
AC004994.1	0
AC004997.1	0.01180145
AC005000.1	0.421451098
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	0.447634868
AC005005.4	0.001453802
AC005006.1	0
AC005008.1	0
AC005008.2	0
AC005009.1	0
AC005009.2	0.026272276
AC005011.1	0.115598015
AC005013.1	0
AC005014.1	0
AC005014.2	0.0810537
AC005014.3	0.638831137
AC005019.1	0.056323859
AC005019.2	0
AC005020.1	0
AC005020.2	0.134366697
AC005021.1	0.410291547
AC005033.1	0
AC005034.1	0
AC005034.2	0.058636674
AC005034.3	2.98755031
AC005034.4	0.108011494
AC005034.5	0.364654684
AC005037.1	0.049898424
AC005040.1	0
AC005041.1	1.183384023
AC005041.2	0
AC005041.3	0.748091933
AC005042.1	0.151722395
AC005042.2	0
AC005042.3	0
AC005046.1	0.427250265
AC005050.1	0.044137424
AC005052.1	0
AC005062.1	0.009467856
AC005064.1	0
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.100918902
AC005072.1	0.013645634
AC005076.1	0.35538579
AC005077.1	0
AC005077.2	0.115414817
AC005077.3	0.065609684
AC005077.4	0.541772673
AC005082.1	0.023881538
AC005083.1	0.565801607
AC005084.1	0
AC005086.1	0.030306596
