	62ff3cee-843e-4192-a4a6-8489cc2d0508
	tumor
AC004943.3	0.2190397
AC004944.1	0.0214815
AC004945.1	0
AC004946.1	0
AC004947.1	0.047257756
AC004947.2	0.012300994
AC004948.1	0
AC004951.1	0.12325385
AC004951.2	1.37246394
AC004951.3	0.168492077
AC004951.4	0.079132839
AC004965.1	0
AC004967.1	7.791345016
AC004969.1	0.056844213
AC004972.1	0
AC004973.1	0
AC004975.1	0.157961322
AC004975.2	0
AC004980.1	0.887427721
AC004980.2	0.925519857
AC004980.3	0.18003263
AC004980.4	0
AC004982.1	0.039705081
AC004982.2	0.13294317
AC004986.1	0
AC004987.1	0
AC004987.2	0.314821868
AC004987.3	0
AC004987.4	0
AC004988.1	0.185522049
AC004990.1	0.486119438
AC004994.1	0
AC004997.1	0.07986377
AC005000.1	2.16758036
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	1.02529221
AC005005.4	0.003935316
AC005006.1	0
AC005008.1	0
AC005008.2	0
AC005009.1	0.244282193
AC005009.2	0
AC005011.1	0
AC005013.1	0
AC005014.1	0.066241845
AC005014.2	0.219405375
AC005014.3	2.4209651
AC005019.1	0.228695742
AC005019.2	0
AC005020.1	0.062463793
AC005020.2	0.151549608
AC005021.1	0.185103971
AC005033.1	0
AC005034.1	0
AC005034.2	0.07936221
AC005034.3	1.053196037
AC005034.4	0.109641674
AC005034.5	0.282025364
AC005037.1	0.067535365
AC005040.1	0
AC005041.1	0.888591769
AC005041.2	0
AC005041.3	0.151876525
AC005042.1	0.328559549
AC005042.2	0.515387528
AC005042.3	0.188827327
AC005046.1	0.157708584
AC005050.1	0.1194762
AC005052.1	0.013184573
AC005062.1	0.089700345
AC005064.1	0
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.099337732
AC005072.1	0
AC005076.1	1.701997665
AC005077.1	0
AC005077.2	0.052069659
AC005077.3	0
AC005077.4	0.216219446
AC005082.1	0.193935789
AC005083.1	2.260898119
AC005084.1	0
AC005086.1	0
AC005086.2	0
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	0.014661292
AC005090.1	0
AC005091.1	0.055220092
AC005094.1	0
AC005096.1	0.264115393
AC005099.1	0.700208875
AC005102.1	0.068592808
AC005104.1	0.743347397
AC005104.2	0.145380332
AC005105.1	0
AC005150.1	0.0523184
AC005154.1	0.600892709
AC005154.2	0
AC005154.3	0.094345886
AC005154.4	0
AC005154.5	0
AC005154.6	0
AC005156.1	0
AC005160.1	0
AC005162.1	0
AC005162.2	0.056844213
AC005162.3	0
AC005165.1	0.099630591
AC005165.2	0.086463039
AC005176.1	0.017905153
AC005176.2	0
AC005178.1	0
AC005180.1	0
AC005180.2	0
AC005181.1	0
AC005183.1	0.016602302
AC005185.1	0
AC005186.1	0.048531691
AC005189.1	0.105986951
AC005191.1	0
AC005197.1	0
AC005208.1	0.02986905
AC005209.1	0
AC005220.1	0.07433474
AC005224.1	0.406156892
AC005224.2	0
AC005224.3	0
AC005224.4	0.159108741
AC005225.1	0.035065053
AC005225.2	0
AC005225.3	0.063306272
AC005225.4	0.014766721
AC005229.1	0
AC005229.2	0.082345752
AC005229.3	0
AC005229.4	1.6891369
AC005230.1	0.115284052
AC005234.1	0
AC005237.1	0
AC005237.2	0.150027191
AC005244.1	0.193840442
AC005244.2	0.091520766
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	1.412100012
AC005253.2	0
AC005255.1	1.825330829
AC005256.1	0
AC005258.1	0
AC005261.1	3.155961852
AC005261.2	0.06288221
AC005261.3	2.49088467
AC005261.4	0.092551986
AC005261.5	1.302867715
AC005262.1	0.544573839
AC005262.2	0
AC005264.1	0.028336313
AC005274.1	0.040967525
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0
AC005288.1	5.883508208
AC005291.1	0
AC005291.2	0.188466281
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.08808567
AC005301.1	0.037549663
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	0.070280117
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0
AC005324.4	0
AC005324.5	0.057541077
AC005324.6	0
AC005326.1	0.267121585
AC005329.1	0.027602314
AC005329.2	0
AC005329.3	0.072158027
AC005330.1	0
AC005332.1	0.476536751
AC005332.2	0.056746036
AC005332.3	0.090047153
AC005332.4	0.515676423
AC005332.5	2.458051491
AC005332.6	0.456499557
AC005332.7	5.747823679
AC005332.8	0.053079087
AC005336.1	0.026432788
AC005336.2	0
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0.104304619
AC005344.1	0
AC005345.1	0
AC005351.1	0.041801469
AC005355.1	0.092033487
AC005355.2	0.135768409
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0
AC005363.1	0
AC005363.2	0.543073635
AC005377.1	0
AC005379.1	0.100170594
AC005381.1	0.008216043
AC005383.1	0.061528005
AC005387.1	0.466703905
AC005387.2	0.672053623
AC005391.1	0.096351774
AC005392.1	0
AC005392.2	2.183119929
AC005392.3	0.071581601
AC005393.1	0
AC005394.1	0
AC005410.1	0.070963186
AC005412.1	0
AC005476.1	0
AC005476.2	0.168838412
